Date,Year,Month,Day,Water_Year,Climate_class,DOY,Season,Outlet_water_temperature
2/4/92,1992,2,4,1992,Dry,35,Winter,0.5
2/5/92,1992,2,5,1992,Dry,36,Winter,0.5
2/6/92,1992,2,6,1992,Dry,37,Winter,0.5
2/7/92,1992,2,7,1992,Dry,38,Winter,0.4
2/8/92,1992,2,8,1992,Dry,39,Winter,0.4
2/9/92,1992,2,9,1992,Dry,40,Winter,0.3
2/10/92,1992,2,10,1992,Dry,41,Winter,0.3
2/11/92,1992,2,11,1992,Dry,42,Winter,0.5
2/12/92,1992,2,12,1992,Dry,43,Winter,0.5
2/13/92,1992,2,13,1992,Dry,44,Winter,0.5
2/14/92,1992,2,14,1992,Dry,45,Winter,0.5
2/15/92,1992,2,15,1992,Dry,46,Winter,0.5
2/16/92,1992,2,16,1992,Dry,47,Winter,0.5
2/17/92,1992,2,17,1992,Dry,48,Winter,0.4
2/18/92,1992,2,18,1992,Dry,49,Winter,0.4
2/19/92,1992,2,19,1992,Dry,50,Winter,0.5
2/20/92,1992,2,20,1992,Dry,51,Winter,0.5
2/21/92,1992,2,21,1992,Dry,52,Winter,0.5
2/22/92,1992,2,22,1992,Dry,53,Winter,0.5
2/23/92,1992,2,23,1992,Dry,54,Winter,0.5
2/24/92,1992,2,24,1992,Dry,55,Winter,0.5
2/25/92,1992,2,25,1992,Dry,56,Winter,0.6
2/26/92,1992,2,26,1992,Dry,57,Winter,0.6
2/27/92,1992,2,27,1992,Dry,58,Winter,0.6
2/28/92,1992,2,28,1992,Dry,59,Winter,0.6
2/29/92,1992,2,29,1992,Dry,60,Winter,0.5
3/1/92,1992,3,1,1992,Dry,61,Spring,0.4
3/2/92,1992,3,2,1992,Dry,62,Spring,0.5
3/3/92,1992,3,3,1992,Dry,63,Spring,0.5
3/4/92,1992,3,4,1992,Dry,64,Spring,0.5
3/5/92,1992,3,5,1992,Dry,65,Spring,0.5
3/6/92,1992,3,6,1992,Dry,66,Spring,0.4
3/7/92,1992,3,7,1992,Dry,67,Spring,0.4
3/8/92,1992,3,8,1992,Dry,68,Spring,0.3
3/9/92,1992,3,9,1992,Dry,69,Spring,0.4
3/10/92,1992,3,10,1992,Dry,70,Spring,0.7
3/11/92,1992,3,11,1992,Dry,71,Spring,0.7
3/12/92,1992,3,12,1992,Dry,72,Spring,0.7
3/13/92,1992,3,13,1992,Dry,73,Spring,0.7
3/14/92,1992,3,14,1992,Dry,74,Spring,0.7
3/15/92,1992,3,15,1992,Dry,75,Spring,0.7
3/16/92,1992,3,16,1992,Dry,76,Spring,0.8
3/17/92,1992,3,17,1992,Dry,77,Spring,0.8
3/18/92,1992,3,18,1992,Dry,78,Spring,0.8
3/19/92,1992,3,19,1992,Dry,79,Spring,0.8
3/20/92,1992,3,20,1992,Dry,80,Spring,0.8
3/21/92,1992,3,21,1992,Dry,81,Spring,0.8
3/22/92,1992,3,22,1992,Dry,82,Spring,0.8
3/23/92,1992,3,23,1992,Dry,83,Spring,0.8
3/24/92,1992,3,24,1992,Dry,84,Spring,0.8
3/25/92,1992,3,25,1992,Dry,85,Spring,0.9
3/26/92,1992,3,26,1992,Dry,86,Spring,1.3
3/27/92,1992,3,27,1992,Dry,87,Spring,0.8
3/28/92,1992,3,28,1992,Dry,88,Spring,0.4
3/29/92,1992,3,29,1992,Dry,89,Spring,0.4
3/30/92,1992,3,30,1992,Dry,90,Spring,0.4
3/31/92,1992,3,31,1992,Dry,91,Spring,0.5
4/1/92,1992,4,1,1992,Dry,92,Spring,0.6
4/2/92,1992,4,2,1992,Dry,93,Spring,0.5
4/3/92,1992,4,3,1992,Dry,94,Spring,0.5
4/4/92,1992,4,4,1992,Dry,95,Spring,0.6
4/5/92,1992,4,5,1992,Dry,96,Spring,0.6
4/6/92,1992,4,6,1992,Dry,97,Spring,0.6
4/7/92,1992,4,7,1992,Dry,98,Spring,0.6
4/8/92,1992,4,8,1992,Dry,99,Spring,0.7
4/9/92,1992,4,9,1992,Dry,100,Spring,0.7
4/10/92,1992,4,10,1992,Dry,101,Spring,0.7
4/11/92,1992,4,11,1992,Dry,102,Spring,0.7
4/12/92,1992,4,12,1992,Dry,103,Spring,0.7
4/13/92,1992,4,13,1992,Dry,104,Spring,0.6
4/14/92,1992,4,14,1992,Dry,105,Spring,0.6
4/15/92,1992,4,15,1992,Dry,106,Spring,0.7
4/16/92,1992,4,16,1992,Dry,107,Spring,0.7
4/17/92,1992,4,17,1992,Dry,108,Spring,0.7
4/18/92,1992,4,18,1992,Dry,109,Spring,0.7
4/19/92,1992,4,19,1992,Dry,110,Spring,0.8
4/20/92,1992,4,20,1992,Dry,111,Spring,0.7
4/21/92,1992,4,21,1992,Dry,112,Spring,0.7
4/22/92,1992,4,22,1992,Dry,113,Spring,0.8
4/23/92,1992,4,23,1992,Dry,114,Spring,0.8
4/24/92,1992,4,24,1992,Dry,115,Spring,1
4/25/92,1992,4,25,1992,Dry,116,Spring,1.3
4/26/92,1992,4,26,1992,Dry,117,Spring,1.5
4/27/92,1992,4,27,1992,Dry,118,Spring,1.7
4/28/92,1992,4,28,1992,Dry,119,Spring,1.8
4/29/92,1992,4,29,1992,Dry,120,Spring,1.9
4/30/92,1992,4,30,1992,Dry,121,Spring,1.9
5/1/92,1992,5,1,1992,Dry,122,Spring,2.1
5/2/92,1992,5,2,1992,Dry,123,Spring,2.2
5/3/92,1992,5,3,1992,Dry,124,Spring,2.2
5/4/92,1992,5,4,1992,Dry,125,Spring,2.2
5/5/92,1992,5,5,1992,Dry,126,Spring,2.2
5/6/92,1992,5,6,1992,Dry,127,Spring,2.4
5/7/92,1992,5,7,1992,Dry,128,Spring,2.5
5/8/92,1992,5,8,1992,Dry,129,Spring,2.7
5/9/92,1992,5,9,1992,Dry,130,Spring,2.8
5/10/92,1992,5,10,1992,Dry,131,Spring,3.1
5/11/92,1992,5,11,1992,Dry,132,Spring,3.3
5/12/92,1992,5,12,1992,Dry,133,Spring,3.7
5/13/92,1992,5,13,1992,Dry,134,Spring,3.8
5/14/92,1992,5,14,1992,Dry,135,Spring,3.9
5/15/92,1992,5,15,1992,Dry,136,Spring,3.9
5/16/92,1992,5,16,1992,Dry,137,Spring,3.9
5/17/92,1992,5,17,1992,Dry,138,Spring,3.9
5/18/92,1992,5,18,1992,Dry,139,Spring,5
5/19/92,1992,5,19,1992,Dry,140,Spring,6.6
5/20/92,1992,5,20,1992,Dry,141,Spring,7
5/21/92,1992,5,21,1992,Dry,142,Spring,7.4
5/22/92,1992,5,22,1992,Dry,143,Spring,7.7
5/23/92,1992,5,23,1992,Dry,144,Spring,8.2
5/24/92,1992,5,24,1992,Dry,145,Spring,8.5
5/25/92,1992,5,25,1992,Dry,146,Spring,8.8
5/26/92,1992,5,26,1992,Dry,147,Spring,8.8
5/27/92,1992,5,27,1992,Dry,148,Spring,8.7
5/28/92,1992,5,28,1992,Dry,149,Spring,8.7
5/29/92,1992,5,29,1992,Dry,150,Spring,8.9
5/30/92,1992,5,30,1992,Dry,151,Spring,9.1
5/31/92,1992,5,31,1992,Dry,152,Spring,9.5
6/1/92,1992,6,1,1992,Dry,153,Summer,9.8
6/2/92,1992,6,2,1992,Dry,154,Summer,10.6
6/3/92,1992,6,3,1992,Dry,155,Summer,11.4
6/4/92,1992,6,4,1992,Dry,156,Summer,11.9
6/5/92,1992,6,5,1992,Dry,157,Summer,11.6
6/6/92,1992,6,6,1992,Dry,158,Summer,11
6/7/92,1992,6,7,1992,Dry,159,Summer,11.1
6/8/92,1992,6,8,1992,Dry,160,Summer,11.6
6/9/92,1992,6,9,1992,Dry,161,Summer,11.8
6/10/92,1992,6,10,1992,Dry,162,Summer,12.1
6/11/92,1992,6,11,1992,Dry,163,Summer,12
6/12/92,1992,6,12,1992,Dry,164,Summer,11.4
6/13/92,1992,6,13,1992,Dry,165,Summer,10.9
6/14/92,1992,6,14,1992,Dry,166,Summer,10.1
6/15/92,1992,6,15,1992,Dry,167,Summer,10.6
6/16/92,1992,6,16,1992,Dry,168,Summer,11.4
6/17/92,1992,6,17,1992,Dry,169,Summer,11.5
6/18/92,1992,6,18,1992,Dry,170,Summer,11.8
6/19/92,1992,6,19,1992,Dry,171,Summer,11.8
6/20/92,1992,6,20,1992,Dry,172,Summer,12
6/21/92,1992,6,21,1992,Dry,173,Summer,12.5
6/22/92,1992,6,22,1992,Dry,174,Summer,12.4
6/23/92,1992,6,23,1992,Dry,175,Summer,11.9
6/24/92,1992,6,24,1992,Dry,176,Summer,11.8
6/25/92,1992,6,25,1992,Dry,177,Summer,12.5
6/26/92,1992,6,26,1992,Dry,178,Summer,13.9
6/27/92,1992,6,27,1992,Dry,179,Summer,13.6
6/28/92,1992,6,28,1992,Dry,180,Summer,12.9
6/29/92,1992,6,29,1992,Dry,181,Summer,12.6
6/30/92,1992,6,30,1992,Dry,182,Summer,13.1
7/1/92,1992,7,1,1992,Dry,183,Summer,13.7
7/2/92,1992,7,2,1992,Dry,184,Summer,13.8
7/3/92,1992,7,3,1992,Dry,185,Summer,13.8
7/4/92,1992,7,4,1992,Dry,186,Summer,13.7
7/5/92,1992,7,5,1992,Dry,187,Summer,13.8
7/6/92,1992,7,6,1992,Dry,188,Summer,14.2
7/7/92,1992,7,7,1992,Dry,189,Summer,14.5
7/8/92,1992,7,8,1992,Dry,190,Summer,14.8
7/9/92,1992,7,9,1992,Dry,191,Summer,15
7/10/92,1992,7,10,1992,Dry,192,Summer,14.6
7/11/92,1992,7,11,1992,Dry,193,Summer,14.3
7/12/92,1992,7,12,1992,Dry,194,Summer,14.1
7/13/92,1992,7,13,1992,Dry,195,Summer,13.6
7/14/92,1992,7,14,1992,Dry,196,Summer,12.9
7/15/92,1992,7,15,1992,Dry,197,Summer,13.3
7/16/92,1992,7,16,1992,Dry,198,Summer,14.3
7/17/92,1992,7,17,1992,Dry,199,Summer,14.5
7/18/92,1992,7,18,1992,Dry,200,Summer,14.9
7/19/92,1992,7,19,1992,Dry,201,Summer,15.5
7/20/92,1992,7,20,1992,Dry,202,Summer,15.9
7/21/92,1992,7,21,1992,Dry,203,Summer,16
7/22/92,1992,7,22,1992,Dry,204,Summer,16.1
7/23/92,1992,7,23,1992,Dry,205,Summer,16.4
7/24/92,1992,7,24,1992,Dry,206,Summer,16.8
7/25/92,1992,7,25,1992,Dry,207,Summer,17.3
7/26/92,1992,7,26,1992,Dry,208,Summer,17.7
7/27/92,1992,7,27,1992,Dry,209,Summer,17.9
7/28/92,1992,7,28,1992,Dry,210,Summer,18.3
7/29/92,1992,7,29,1992,Dry,211,Summer,18.6
7/30/92,1992,7,30,1992,Dry,212,Summer,18.7
7/31/92,1992,7,31,1992,Dry,213,Summer,18.6
8/1/92,1992,8,1,1992,Dry,214,Summer,18.8
8/2/92,1992,8,2,1992,Dry,215,Summer,18.8
8/3/92,1992,8,3,1992,Dry,216,Summer,18.8
8/4/92,1992,8,4,1992,Dry,217,Summer,18.7
8/5/92,1992,8,5,1992,Dry,218,Summer,19
8/6/92,1992,8,6,1992,Dry,219,Summer,19
8/7/92,1992,8,7,1992,Dry,220,Summer,18.8
8/8/92,1992,8,8,1992,Dry,221,Summer,19.1
8/9/92,1992,8,9,1992,Dry,222,Summer,19.3
8/10/92,1992,8,10,1992,Dry,223,Summer,19.1
8/11/92,1992,8,11,1992,Dry,224,Summer,19
8/12/92,1992,8,12,1992,Dry,225,Summer,18.4
8/13/92,1992,8,13,1992,Dry,226,Summer,17.9
8/14/92,1992,8,14,1992,Dry,227,Summer,18.2
8/15/92,1992,8,15,1992,Dry,228,Summer,18.7
8/16/92,1992,8,16,1992,Dry,229,Summer,18.8
8/17/92,1992,8,17,1992,Dry,230,Summer,19.1
8/18/92,1992,8,18,1992,Dry,231,Summer,18.9
8/19/92,1992,8,19,1992,Dry,232,Summer,18.8
8/20/92,1992,8,20,1992,Dry,233,Summer,18.5
8/21/92,1992,8,21,1992,Dry,234,Summer,17.7
8/22/92,1992,8,22,1992,Dry,235,Summer,17.2
8/23/92,1992,8,23,1992,Dry,236,Summer,17.2
8/24/92,1992,8,24,1992,Dry,237,Summer,17
8/25/92,1992,8,25,1992,Dry,238,Summer,17.1
8/26/92,1992,8,26,1992,Dry,239,Summer,17.1
8/27/92,1992,8,27,1992,Dry,240,Summer,17.1
8/28/92,1992,8,28,1992,Dry,241,Summer,16.3
8/29/92,1992,8,29,1992,Dry,242,Summer,14.7
8/30/92,1992,8,30,1992,Dry,243,Summer,14.6
8/31/92,1992,8,31,1992,Dry,244,Summer,14.9
9/1/92,1992,9,1,1992,Dry,245,Autumn,15.2
9/2/92,1992,9,2,1992,Dry,246,Autumn,13.8
9/3/92,1992,9,3,1992,Dry,247,Autumn,13.3
9/4/92,1992,9,4,1992,Dry,248,Autumn,14.3
9/5/92,1992,9,5,1992,Dry,249,Autumn,14.3
9/6/92,1992,9,6,1992,Dry,250,Autumn,14.9
9/7/92,1992,9,7,1992,Dry,251,Autumn,15.2
9/8/92,1992,9,8,1992,Dry,252,Autumn,15.4
9/9/92,1992,9,9,1992,Dry,253,Autumn,15.1
9/10/92,1992,9,10,1992,Dry,254,Autumn,15.1
9/11/92,1992,9,11,1992,Dry,255,Autumn,13.9
9/12/92,1992,9,12,1992,Dry,256,Autumn,14.2
9/13/92,1992,9,13,1992,Dry,257,Autumn,13.9
9/14/92,1992,9,14,1992,Dry,258,Autumn,12.8
9/15/92,1992,9,15,1992,Dry,259,Autumn,13.1
9/16/92,1992,9,16,1992,Dry,260,Autumn,12.6
9/17/92,1992,9,17,1992,Dry,261,Autumn,12.1
9/18/92,1992,9,18,1992,Dry,262,Autumn,12.5
9/19/92,1992,9,19,1992,Dry,263,Autumn,13.7
9/20/92,1992,9,20,1992,Dry,264,Autumn,14.2
9/21/92,1992,9,21,1992,Dry,265,Autumn,14.3
9/22/92,1992,9,22,1992,Dry,266,Autumn,14
9/23/92,1992,9,23,1992,Dry,267,Autumn,13.1
9/24/92,1992,9,24,1992,Dry,268,Autumn,12.8
9/25/92,1992,9,25,1992,Dry,269,Autumn,13.1
9/26/92,1992,9,26,1992,Dry,270,Autumn,13
9/27/92,1992,9,27,1992,Dry,271,Autumn,12.8
9/28/92,1992,9,28,1992,Dry,272,Autumn,12.6
9/29/92,1992,9,29,1992,Dry,273,Autumn,11
9/30/92,1992,9,30,1992,Dry,274,Autumn,10.9
10/1/92,1992,10,1,1993,Wet,275,Autumn,8.9
10/2/92,1992,10,2,1993,Wet,276,Autumn,8.4
10/3/92,1992,10,3,1993,Wet,277,Autumn,8.8
10/4/92,1992,10,4,1993,Wet,278,Autumn,7.9
10/5/92,1992,10,5,1993,Wet,279,Autumn,6.3
10/6/92,1992,10,6,1993,Wet,280,Autumn,7.2
10/7/92,1992,10,7,1993,Wet,281,Autumn,6.8
10/8/92,1992,10,8,1993,Wet,282,Autumn,7.3
10/9/92,1992,10,9,1993,Wet,283,Autumn,7.3
10/10/92,1992,10,10,1993,Wet,284,Autumn,8.3
10/11/92,1992,10,11,1993,Wet,285,Autumn,8.7
10/12/92,1992,10,12,1993,Wet,286,Autumn,8.3
10/13/92,1992,10,13,1993,Wet,287,Autumn,6.9
10/14/92,1992,10,14,1993,Wet,288,Autumn,6.9
10/15/92,1992,10,15,1993,Wet,289,Autumn,7.7
10/16/92,1992,10,16,1993,Wet,290,Autumn,8
10/17/92,1992,10,17,1993,Wet,291,Autumn,7.5
10/18/92,1992,10,18,1993,Wet,292,Autumn,7.3
10/19/92,1992,10,19,1993,Wet,293,Autumn,7.2
10/20/92,1992,10,20,1993,Wet,294,Autumn,5.1
10/21/92,1992,10,21,1993,Wet,295,Autumn,5.2
10/22/92,1992,10,22,1993,Wet,296,Autumn,6.4
10/23/92,1992,10,23,1993,Wet,297,Autumn,6.1
10/24/92,1992,10,24,1993,Wet,298,Autumn,4.3
10/25/92,1992,10,25,1993,Wet,299,Autumn,4.4
10/26/92,1992,10,26,1993,Wet,300,Autumn,3
10/27/92,1992,10,27,1993,Wet,301,Autumn,3.2
10/28/92,1992,10,28,1993,Wet,302,Autumn,3.1
10/29/92,1992,10,29,1993,Wet,303,Autumn,6
10/30/92,1992,10,30,1993,Wet,304,Autumn,6.6
10/31/92,1992,10,31,1993,Wet,305,Autumn,6.7
11/1/92,1992,11,1,1993,Wet,306,Autumn,6.6
11/2/92,1992,11,2,1993,Wet,307,Autumn,6.5
11/3/92,1992,11,3,1993,Wet,308,Autumn,6.4
11/4/92,1992,11,4,1993,Wet,309,Autumn,6.4
11/5/92,1992,11,5,1993,Wet,310,Autumn,6.2
11/6/92,1992,11,6,1993,Wet,311,Autumn,6.2
11/7/92,1992,11,7,1993,Wet,312,Autumn,5.6
11/8/92,1992,11,8,1993,Wet,313,Autumn,5.1
11/9/92,1992,11,9,1993,Wet,314,Autumn,4.5
11/10/92,1992,11,10,1993,Wet,315,Autumn,4.4
11/11/92,1992,11,11,1993,Wet,316,Autumn,4.4
11/12/92,1992,11,12,1993,Wet,317,Autumn,4.5
11/13/92,1992,11,13,1993,Wet,318,Autumn,4.4
11/14/92,1992,11,14,1993,Wet,319,Autumn,4.2
11/15/92,1992,11,15,1993,Wet,320,Autumn,4.1
11/16/92,1992,11,16,1993,Wet,321,Autumn,3.7
11/17/92,1992,11,17,1993,Wet,322,Autumn,3.5
11/18/92,1992,11,18,1993,Wet,323,Autumn,3
11/19/92,1992,11,19,1993,Wet,324,Autumn,2.5
11/20/92,1992,11,20,1993,Wet,325,Autumn,2.6
11/21/92,1992,11,21,1993,Wet,326,Autumn,2.8
11/22/92,1992,11,22,1993,Wet,327,Autumn,2.7
11/23/92,1992,11,23,1993,Wet,328,Autumn,2.6
11/24/92,1992,11,24,1993,Wet,329,Autumn,2.8
11/25/92,1992,11,25,1993,Wet,330,Autumn,3.2
11/26/92,1992,11,26,1993,Wet,331,Autumn,3.9
11/27/92,1992,11,27,1993,Wet,332,Autumn,4
11/28/92,1992,11,28,1993,Wet,333,Autumn,4
11/29/92,1992,11,29,1993,Wet,334,Autumn,4
11/30/92,1992,11,30,1993,Wet,335,Autumn,4.1
12/1/92,1992,12,1,1993,Wet,336,Winter,4.1
12/2/92,1992,12,2,1993,Wet,337,Winter,4
12/3/92,1992,12,3,1993,Wet,338,Winter,3.9
12/4/92,1992,12,4,1993,Wet,339,Winter,3.8
12/5/92,1992,12,5,1993,Wet,340,Winter,3.3
12/6/92,1992,12,6,1993,Wet,341,Winter,3.2
12/7/92,1992,12,7,1993,Wet,342,Winter,2.7
12/8/92,1992,12,8,1993,Wet,343,Winter,2.7
12/9/92,1992,12,9,1993,Wet,344,Winter,3
12/10/92,1992,12,10,1993,Wet,345,Winter,2.3
12/11/92,1992,12,11,1993,Wet,346,Winter,2.2
12/12/92,1992,12,12,1993,Wet,347,Winter,2.3
12/13/92,1992,12,13,1993,Wet,348,Winter,2.7
12/14/92,1992,12,14,1993,Wet,349,Winter,3.1
12/15/92,1992,12,15,1993,Wet,350,Winter,3.1
12/16/92,1992,12,16,1993,Wet,351,Winter,2.3
12/17/92,1992,12,17,1993,Wet,352,Winter,1.3
12/18/92,1992,12,18,1993,Wet,353,Winter,1.4
12/19/92,1992,12,19,1993,Wet,354,Winter,1.3
12/20/92,1992,12,20,1993,Wet,355,Winter,1.2
12/21/92,1992,12,21,1993,Wet,356,Winter,1.2
12/22/92,1992,12,22,1993,Wet,357,Winter,1.2
12/23/92,1992,12,23,1993,Wet,358,Winter,1.2
12/24/92,1992,12,24,1993,Wet,359,Winter,1.2
12/25/92,1992,12,25,1993,Wet,360,Winter,1.1
12/26/92,1992,12,26,1993,Wet,361,Winter,1
12/27/92,1992,12,27,1993,Wet,362,Winter,0.9
12/28/92,1992,12,28,1993,Wet,363,Winter,1.5
12/29/92,1992,12,29,1993,Wet,364,Winter,0.5
12/30/92,1992,12,30,1993,Wet,365,Winter,0.2
12/31/92,1992,12,31,1993,Wet,366,Winter,0.1
1/1/93,1993,1,1,1993,Wet,1,Winter,0
1/2/93,1993,1,2,1993,Wet,2,Winter,0
1/3/93,1993,1,3,1993,Wet,3,Winter,0
1/4/93,1993,1,4,1993,Wet,4,Winter,0
1/5/93,1993,1,5,1993,Wet,5,Winter,0
1/6/93,1993,1,6,1993,Wet,6,Winter,0.1
1/7/93,1993,1,7,1993,Wet,7,Winter,0
1/8/93,1993,1,8,1993,Wet,8,Winter,0
1/9/93,1993,1,9,1993,Wet,9,Winter,0
1/10/93,1993,1,10,1993,Wet,10,Winter,0
1/11/93,1993,1,11,1993,Wet,11,Winter,0
1/12/93,1993,1,12,1993,Wet,12,Winter,0
1/13/93,1993,1,13,1993,Wet,13,Winter,0
1/14/93,1993,1,14,1993,Wet,14,Winter,0
1/15/93,1993,1,15,1993,Wet,15,Winter,0
1/16/93,1993,1,16,1993,Wet,16,Winter,0
1/17/93,1993,1,17,1993,Wet,17,Winter,0
1/18/93,1993,1,18,1993,Wet,18,Winter,0
1/19/93,1993,1,19,1993,Wet,19,Winter,0
1/20/93,1993,1,20,1993,Wet,20,Winter,0
1/21/93,1993,1,21,1993,Wet,21,Winter,0
1/22/93,1993,1,22,1993,Wet,22,Winter,0
1/23/93,1993,1,23,1993,Wet,23,Winter,0
1/24/93,1993,1,24,1993,Wet,24,Winter,0
1/25/93,1993,1,25,1993,Wet,25,Winter,0
1/26/93,1993,1,26,1993,Wet,26,Winter,0
1/27/93,1993,1,27,1993,Wet,27,Winter,0
1/28/93,1993,1,28,1993,Wet,28,Winter,0
1/29/93,1993,1,29,1993,Wet,29,Winter,0
1/30/93,1993,1,30,1993,Wet,30,Winter,0
1/31/93,1993,1,31,1993,Wet,31,Winter,0
2/1/93,1993,2,1,1993,Wet,32,Winter,0
2/2/93,1993,2,2,1993,Wet,33,Winter,0
2/3/93,1993,2,3,1993,Wet,34,Winter,0
2/4/93,1993,2,4,1993,Wet,35,Winter,0
2/5/93,1993,2,5,1993,Wet,36,Winter,0
2/6/93,1993,2,6,1993,Wet,37,Winter,0
2/7/93,1993,2,7,1993,Wet,38,Winter,0
2/8/93,1993,2,8,1993,Wet,39,Winter,0
2/9/93,1993,2,9,1993,Wet,40,Winter,0
2/10/93,1993,2,10,1993,Wet,41,Winter,0
2/11/93,1993,2,11,1993,Wet,42,Winter,0
2/12/93,1993,2,12,1993,Wet,43,Winter,0
2/13/93,1993,2,13,1993,Wet,44,Winter,0
2/14/93,1993,2,14,1993,Wet,45,Winter,0
2/15/93,1993,2,15,1993,Wet,46,Winter,0
2/16/93,1993,2,16,1993,Wet,47,Winter,0
2/17/93,1993,2,17,1993,Wet,48,Winter,0
2/18/93,1993,2,18,1993,Wet,49,Winter,0
2/19/93,1993,2,19,1993,Wet,50,Winter,0
2/20/93,1993,2,20,1993,Wet,51,Winter,0
2/21/93,1993,2,21,1993,Wet,52,Winter,0
2/22/93,1993,2,22,1993,Wet,53,Winter,0
2/23/93,1993,2,23,1993,Wet,54,Winter,0
2/24/93,1993,2,24,1993,Wet,55,Winter,0
2/25/93,1993,2,25,1993,Wet,56,Winter,0
2/26/93,1993,2,26,1993,Wet,57,Winter,0
2/27/93,1993,2,27,1993,Wet,58,Winter,0
2/28/93,1993,2,28,1993,Wet,59,Winter,0
3/1/93,1993,3,1,1993,Wet,60,Spring,0
3/2/93,1993,3,2,1993,Wet,61,Spring,0
3/3/93,1993,3,3,1993,Wet,62,Spring,0
3/4/93,1993,3,4,1993,Wet,63,Spring,0
3/5/93,1993,3,5,1993,Wet,64,Spring,0
3/6/93,1993,3,6,1993,Wet,65,Spring,0
3/7/93,1993,3,7,1993,Wet,66,Spring,0
3/8/93,1993,3,8,1993,Wet,67,Spring,0
3/9/93,1993,3,9,1993,Wet,68,Spring,0
3/10/93,1993,3,10,1993,Wet,69,Spring,0
3/11/93,1993,3,11,1993,Wet,70,Spring,0
3/12/93,1993,3,12,1993,Wet,71,Spring,0
3/13/93,1993,3,13,1993,Wet,72,Spring,0
3/14/93,1993,3,14,1993,Wet,73,Spring,0
3/15/93,1993,3,15,1993,Wet,74,Spring,0
3/16/93,1993,3,16,1993,Wet,75,Spring,0
3/17/93,1993,3,17,1993,Wet,76,Spring,0
3/18/93,1993,3,18,1993,Wet,77,Spring,0
3/19/93,1993,3,19,1993,Wet,78,Spring,0
3/20/93,1993,3,20,1993,Wet,79,Spring,0
3/21/93,1993,3,21,1993,Wet,80,Spring,0
3/22/93,1993,3,22,1993,Wet,81,Spring,0
3/23/93,1993,3,23,1993,Wet,82,Spring,0
3/24/93,1993,3,24,1993,Wet,83,Spring,0
3/25/93,1993,3,25,1993,Wet,84,Spring,0
3/26/93,1993,3,26,1993,Wet,85,Spring,0
3/27/93,1993,3,27,1993,Wet,86,Spring,0
3/28/93,1993,3,28,1993,Wet,87,Spring,0
3/29/93,1993,3,29,1993,Wet,88,Spring,0
3/30/93,1993,3,30,1993,Wet,89,Spring,0
3/31/93,1993,3,31,1993,Wet,90,Spring,0
4/1/93,1993,4,1,1993,Wet,91,Spring,0
4/2/93,1993,4,2,1993,Wet,92,Spring,0
4/3/93,1993,4,3,1993,Wet,93,Spring,0
4/4/93,1993,4,4,1993,Wet,94,Spring,0
4/5/93,1993,4,5,1993,Wet,95,Spring,0
4/6/93,1993,4,6,1993,Wet,96,Spring,0
4/7/93,1993,4,7,1993,Wet,97,Spring,0
4/8/93,1993,4,8,1993,Wet,98,Spring,0
4/9/93,1993,4,9,1993,Wet,99,Spring,0
4/10/93,1993,4,10,1993,Wet,100,Spring,0
4/11/93,1993,4,11,1993,Wet,101,Spring,0
4/12/93,1993,4,12,1993,Wet,102,Spring,0
4/13/93,1993,4,13,1993,Wet,103,Spring,0
